mfg part number  ,  quantity 1  ,  Description  ,  Customer Part No.
VJ0805A271KXBPW1BC  ,  34  ,  270pF  ,  C1-34
CGA3E2X7R1H152K080AA  ,  1  ,  1.5nF  ,  C35
VJ0603Y104JXJPW1BC  ,  19  ,  100nF  ,  C36_C40_C45-46_C48-51_C54-55_C59-61_C64-66_C70-72
GRM21BR71A106KA73L  ,  17  ,  10uF  ,  C37-39_C42-44_C47_C52-53_C56-58_C62-63_C67-69
593D107X9010C2TE3  ,  1  ,  100uF  ,  C41
LG Q971-KN-1  ,  1  ,  LED  ,  D1
MH2029-221Y  ,  8  ,  MH2029-221Y  ,  L1-8
68021-120HLF  ,  1  ,  CONN_10X2  ,  P10
54202-G0803ALF  ,  1  ,  CONN_3X2  ,  P20
89898-303LF  ,  1  ,  CONN_3X2  ,  P21
RR1220P-2611-D-M  ,  34  ,  2.61k  ,  R1-34
CRCW0603560RJNEA  ,  1  ,  560  ,  R35
RR1220P-105-D  ,  1  ,  1M  ,  R36
CRCW060347R0FKEA  ,  6  ,  47  ,  R37-38_R47-50
CRCW060368R0JNEA  ,  1  ,  68  ,  R39
RR0816P-103-D  ,  3  ,  10k  ,  R40-41_R46
RR0816P-8451-D-90H  ,  1  ,  8.45k  ,  R42
CRCW06030000Z0EB  ,  1  ,  0  ,  R43
ADS1299IPAG  ,  1  ,  ADS1299  ,  U1
BT1308W-600D  ,  1  ,  BT1308W-600D  ,  U2
771-TL431BIDBZR215  ,  1  ,  TL431BIDBZR  ,  U3
873-AAT3220IGY-33T1  ,  1  ,  873-AAT3220IGY-33T1  ,  U4
ADUM6000ARIZ  ,  1  ,  ADUM6000  ,  U5
Si8663BD-B-IS  ,  1  ,  SI8663  ,  U6
MC74HC02ADG  ,  1  ,  74LS02  ,  U7
MC74HC00ADR2G  ,  1  ,  74LS00  ,  U8
MC74HC125ADG  ,  1  ,  74LS125  ,  U9
