270pF,34,"C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34",SM0603,C1608C0G2E271J080AA
1.5nF,1,"C35",SM0603,CGA3E2X7R1H152K080AA
100nF,19,"C36 C40 C45 C46 C48 C49 C50 C51 C54 C55 C59 C60 C61 C64 C65 C66 C70 C71 C72",SM0603,VJ0603Y104JXJPW1BC
100nF,1,"C43",SM0805,
10uF,14,"C37 C38 C39 C42 C44 C47 C53 C57 C58 C62 C63 C67 C68 C69",SM0805,GRM21BR71A106KA73L
10uF,2,"C52 C56",SM0805,GRM21BR71A106KA73L
100uF,1,"C41",SM2512,593D107X9010C2TE3
330uF,1,"C73",c_tant_D,T495D337K010ATE150
LED,1,"D1",LED-0603,HT-193UYG-5592
MH2029-221Y,8,"L1 L2 L3 L4 L5 L6 L7 L8",SM0805,MH2029-221Y
CONN_3X2,1,"P20",54202-G0803ALF,54202-G0803ALF
CONN_3X2,1,"P21",89898-303LF,89898-303LF
CONN_18,1,"P10",PIN_ARRAY_18x1,
CONN_7,1,"P22",PIN_ARRAY_7x1,
0,1,"R43",SM0603,CRCW06030000Z0EB
68,1,"R39",SM0603,CRCW060368R0JNEA
560,1,"R35",SM0603,CRCW0603560RJNEA
2.61k,34,"R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34",SM0603,RR0816P-2611-D-41H
8.45k,1,"R42",SM0603,RR0816P-8451-D-90H
10k,1,"R40",SM0603,RR0816P-103-D
10.0k,1,"R41",SM0603,RR0816P-103-D
10k,1,"R46",SM0603,RR0816P-103-D
1M,1,"R36",SM0805,RR1220P-105-D
NI,2,"R44 R45",SM0603,
74LS02,1,"U7",SO14E,SN74LS02D
74LS00,1,"U8",SO14E,SN74LS00D
74LS125,1,"U9",SO14E,SN74LS125AD
ADUM6000,1,"U5",SO16W,ADUM6000ARIZ
SI8663,1,"U6",SO16W,Si8663BD-B-IS
Z0109MNT1G,1,"U2",SOT223,Z0109MNT1G
TL431BIDBZR,1,"U3",SOT23,771-TL431BIDBZR215
873-AAT3220IGY-33T1,1,"U4",SOT23,873-AAT3220IGY-33T1
ADS1299,1,"U1",TQFP_64,ADS1299IPAG
